symbol
AAPL
MSFT
AMZN
NVDA
GOOGL
TSLA
GOOG
META
BRK.B
LLY
V
UNH
XOM
MA
AVGO
HD
PG
JNJ
JPM
ABBV
COST
WMT
MRK
ORCL
CVX
BAC
AMD
KO
PEP
TMO
ACN
LIN
MCD
ABT
TXN
WFC
IBM
CAT
GE
VZ
RTX
INTU
CSCO
ADBE
BKNG
CRM
NFLX
QCOM
CMCSA
AMAT
HON
PM
UPS
T
SPGI
LOW
MS
INTC
UNP
GS
ELV
C
NEE
AXP
SYK
DE
MDT
ISRG
BLK
TJX
ADP
VRTX
GILD
SBUX
BMY
LRCX
MMC
ADI
CVS
SCHW
MO
TMUS
CI
CB
FI
SO
ETN
BSX
REGN
PLD
AON
DUK
KLAC
MU
ZTS
PYPL
SNPS
CSX
CDNS
ITW
ORLY
NOC
AMGN
CMG
HCA
TGT
GD
TFC
SHW
USB
BDX
ROP
MMM
CARR
NSC
ECL
PCAR
FTNT
AJG
WELL
NKE
CMI
HLT
O
ALL
KDP
FAST
CCI
F
EW
VRSK
CTSH
WM
GWW
DHR
MSCI
OXY
OTIS
KR
IDXX
IQV
DXCM
EA
CTAS
A
GIS
RSG
KHC
DOW
RMD
PAYX
ROST
ODFL
BIIB
EXC
XEL
CTVA
CEG
MCHP
MNST
CHTR
SPG
WBD
PNC
EXR
MAR
DLR
PSA
AEP
D
NDAQ
FICO
YUM
SRE
PCG
TROW
GRMN
ROK
TEAM
KMI
STZ
COO
ES
ATO
TRGP
BK
STT
WEC
DFS
ILMN
WY
MTB
EIX
HPQ
AVB
FE
PPG
CNP
KEY
RF
HBAN
CFG
FITB
IVZ
ZION
AES
LH
DGX
MKC
MKTX
NXPI
LULU
WDAY
MRNA
DLTR
ABNB
ZM
DOCU
CRWD
COIN
PDD
JD
BIDU
NTES
WBA
ALGN
SIRI
XLNX
LCID
RIVN
RKLB
PLTR
